pond,year,larv_density,med_prey,large_prey,vert_pred,invert_pred,plankton,water_temp,DO,nitrates,pH,salinity,chlorophyll,turbidity,emergent_veg,conductivity,depth,dist_to_breed,suitable_598_split,suitable_598
Suess,2023,0.406626506,54,2.136363636,0,0.090909091,9171,16.7,0.74,10.08,6.93,0,141.3,13.86,85,148.4,76.2,208.6263557,648900,1007100
Swimming Pool,2023,0,0,2.971698113,0,1.226415094,1810,17.4,NA,NA,NA,1.2,302.7,2.295,55,NA,NA,532.4821468,516600,602100
Tin Man,2023,0,NA,0.363636364,0.136363636,0.136363636,NA,18.3,9.47,149.79,9.7,0,301,1.666,0,144.9,106.68,,,
Tucker,2023,0.132517839,0,1.886792453,0.235849057,1.698113208,402.5,16.6,7.99,27.18,6.91,0,301.2,21.62,10,96,137.2,1889.03152,1097100,1120500
Upper Cattail,2023,0.071580064,24.545,3.55,0,0.1,4626.818,14.4,1.8,51.2,7.11,0.2,273.1,2.818,70,255,152.4,125.4005816,396900,832500
Valencia,2023,0.165447025,67.5,6.473282443,0,0.061068702,4002.75,13.3,2.32,35.9,6.99,0.1,210.5,1.251,90,174.6,152.4,1191.474501,37800,971100
Visitor Center,2023,0,0,19.06862745,0,0.049019608,244,17.8,9.39,99.6,7.88,0.1,156.9,3.469,8,201.6,91.44,434.2685445,692100,756000
Willow Canyon,2023,2.083333333,7.14,4.537037037,0,0.138888889,2060.72,17.8,6.5,16.9,7.05,0,252.6,31.88,40,138.9,121.9,725.9154025,734400,739800
Zmudowski,2023,0,66,3.676470588,0.539215686,0,1776.5,16.3,0.55,20.7,7.07,0.2,255.1,10.35,35,365.1,152.4,6180.082151,305100,305100
Buena Vista 1,2024,0.100624566,97.777778,2.358490566,0,0.660377359,675.2777778,21.9,0.66,53.52,6.3,0,78.65,5.135,15,103.1,134.112,509.3790289,1070100,1070100
Buena Vista 2,2024,1.25,2.1875,19.86607143,0,0.267857143,404.6875,22.4,5.6,35.12,7.73,0,60.17,2.599,5,143.4,184.404,509.3790289,827100,992700
Calabasas,2024,0.069332101,0,19.56730769,0,0,1152,15.4,4.98,123.97,6.47,0,755.4,6.454,15,140.8,88.392,208.6263557,883800,1260000
Carneros 1,2024,0.164473684,2.6666667,12.31132075,4.009433962,0,170.6666667,14.7,13.96,20.2,6.98,0.4,185,6.402,90,680,137.16,133.7598071,544500,561600
Carneros 2,2024,0.084889643,4,27.5,6.203703704,0,60,17.5,7.93,10.92,7.2,0.4,953.8,5.232,45,689,111.76,133.7598071,580500,597600
Cecil,2024,0,840.66667,15.9,0,0.4,1950,14.5,5.49,0,6.4,0.1,NA,NA,5,0.1719,91.44,1002.25,777600,777600
Central,2024,0,MISSING,25.91346154,0,0.096153846,MISSING,19.5,NA,12.9,6.78,0,2260,13.45,90,137.1,81.28,674.1725765,236700,310500
Delaney,2024,0.009578544,51,2.272727273,0,0.409090909,8838,13.6,0.7,278.62,5.85,0,692,21.38,35,103.5,121.92,389.0821453,974700,1012500
Ellicott,2024,0.176168339,44,14.95192308,0,1.057692308,2214,16.9,1.06,250,6.23,0,198.1,3.556,85,108.7,158.496,382.2162706,671400,840600
Hidden,2024,0,72.5,5.333333333,0,0.083333333,1847.5,13.5,2.81,8.85,6.51,0.1,2121,3.081,80,208,152.4,1238.01,831600,831600
Hix,2024,0,16,33.57142857,0,4.017857143,2104,16.7,10.27,18.89,7.06,0.2,414.3,2.845,5,405,152.4,654.0173365,243900,797400
Howell,2024,0,0,2.450980392,0,0.245098039,3913,15.6,NA,NA,NA,1,483.3,2.126,40,NA,152.4,710.2079222,197100,768600
Long Valley,2024,0.048283262,MISSING,17.5,0,0,MISSING,15.8,3.09,24.19,6.67,0.2,228.3,13.58,15,444,86.36,745.4520426,574200,643500
Lower Cattail,2024,0,24.888889,1.574074074,0,0.138888889,283.1111111,19.3,NA,NA,NA,0.8,302,3.41,5,NA,152.4,125.4005816,486000,615600
Merk,2024,0,14,0.508474576,0.889830509,0.042372881,1960,20,0.05,83.22,6.79,0.1,172.1,24.18,5,229.6,152.4,1523.332338,693000,750600
Millsap 1,2024,0,MISSING,0,1.05,0,MISSING,12.9,3.96,280,8.79,0.1,914.8,30.52,95,207.6,152.4,82.14877817,744300,1125000
Millsap 2,2024,0,205.33333,11.55660377,0.141509434,0.377358491,2176.166667,18.5,4.01,250,7.25,0.2,152.6,29.35,15,310,94.488,82.14877817,688500,1113300
North County Parks,2024,0.040268456,0,8.970588235,0.588235294,0.049019608,198.7142857,19,2.2,12.12,6.99,0.2,250.8,6.616,15,356.1,152.4,1240.835816,338400,338400
North Moro Cojo,2024,0,0,12.00980392,0.441176471,0.049019608,945,19.8,NA,NA,NA,1.9,841.2,21.29,50,NA,60.96,1542.156052,441900,441900
Oxbow,2024,0.048746518,29.4,0.85,0.35,0,4.2,13.1,4.65,18.05,6.87,0.3,1497,7.332,95,509,121.92,127.3270341,732600,732600
Pig,2024,0,852.6,14.26470588,0,0.147058824,5.8,13.3,16.65,3.35,6.23,0,168.3,85.48,40,194.7,121.92,1150.07,850500,850500
Pond N,2024,0.033409898,48,4.210526316,0.833333333,0,663,14.7,4.88,16.6,6.62,0.2,1242,33.76,55,543,152.4,122.3977912,675000,675000
Pond O,2024,0.238636364,102,2.875,0.75,0,363,12.9,5.65,12.6,7.01,0.2,991.9,23.86,65,545,97.536,122.3977912,583200,588600
Pond R,2024,0.102986612,28.644068,6.086956522,1.032608696,0,5.728813559,15.3,7.3,12.38,6.53,0.3,1978,19.32,40,621,121.92,137.1070221,650700,652500
Pond S,2024,0.310650888,1,17.74193548,9.435483871,0,17,15.4,7.07,14.32,6.93,0.3,1271,24.14,60,634,104.14,137.1070221,579600,603900
Prospect,2024,0.070082165,38.5,33.1557377,0,0.614754098,13366.5,19.2,2,207.6,6.89,0,283.1,8.121,30,166.3,158.496,382.2162706,639900,882900
Racehorse,2024,0.062466051,31.818182,6.634615385,0.096153846,0.096153846,909.0909091,17.6,0.8,9.04,6.53,0,109.3,4.266,10,179.2,152.4,1046.59,1108800,1111500
Rush,2024,0,229.66667,5.8,0,0.2,1694.333333,14.4,5.21,0,6.4,0.1,NA,NA,5,0.218,76.2,1554.84,886500,886500
Seascape 1,2024,0,119.625,7.583333333,0,0.208333333,3048.375,13.6,0.9,13.15,6.02,0,191.4,38.01,55,120.9,116.84,386.0542259,615600,734400
